ChEMBL_ID	UniProt
CHEMBL40	A6XA80
CHEMBL40	P11712
CHEMBL40	P11229
CHEMBL40	P50406
CHEMBL40	P02768
CHEMBL40	O76074
CHEMBL40	P00918
CHEMBL40	P25021
CHEMBL40	P51681
CHEMBL40	P25025
CHEMBL40	Q92887
CHEMBL40	P15127
CHEMBL40	P06241
CHEMBL40	P50052
CHEMBL40	P22771
CHEMBL40	O35913
CHEMBL40	P25101
CHEMBL40	P41145
CHEMBL40	P30542
CHEMBL40	P20853
CHEMBL40	Q16539
CHEMBL40	P24903
CHEMBL40	P35372
CHEMBL40	P08183
CHEMBL40	Q14994
CHEMBL40	Q5TCH4
CHEMBL40	P32238
CHEMBL40	P28564
CHEMBL40	O75469
CHEMBL40	P78329
CHEMBL40	O70528
CHEMBL40	P20309
CHEMBL40	P41143
CHEMBL40	O15245
CHEMBL40	P31645
CHEMBL40	Q02928
CHEMBL40	P24462
CHEMBL40	P08588
CHEMBL40	Q96SQ9
CHEMBL40	P30411
CHEMBL40	P35462
CHEMBL40	P08104
CHEMBL40	P13945
CHEMBL40	O95342
CHEMBL40	O35627
CHEMBL40	P32241
CHEMBL40	P33527
CHEMBL40	P24524
CHEMBL40	Q08209
CHEMBL40	P25024
CHEMBL40	P0DMS8
CHEMBL40	P35498
CHEMBL40	P33032
CHEMBL40	P25100
CHEMBL40	P29466
CHEMBL40	P23975
CHEMBL40	Q96QA9
CHEMBL40	P05177
CHEMBL40	P13584
CHEMBL40	P28482
CHEMBL40	P08246
CHEMBL40	P08684
CHEMBL40	P24557
CHEMBL40	P21917
CHEMBL40	P25103
CHEMBL40	Q08477
CHEMBL40	P11509
CHEMBL40	Q9HB55
CHEMBL40	P20813
CHEMBL40	Q9NY46
CHEMBL40	P51589
CHEMBL40	P14780
CHEMBL40	P15823
CHEMBL40	P07943
CHEMBL40	Q6PSM0
CHEMBL40	P08173
CHEMBL40	P08913
CHEMBL40	P30988
CHEMBL40	O54915
CHEMBL40	O88269
CHEMBL40	P43140
CHEMBL40	P35367
CHEMBL40	O94956
CHEMBL40	P14416
CHEMBL40	P03372
CHEMBL40	P29476
CHEMBL40	P41968
CHEMBL40	P32245
CHEMBL40	Q99720
CHEMBL40	O88563
CHEMBL40	P10632
CHEMBL40	P20815
CHEMBL40	O75496
CHEMBL40	P06239
CHEMBL40	P18825
CHEMBL40	P98187
CHEMBL40	P05181
CHEMBL40	P17948
CHEMBL40	Q16678
CHEMBL40	P12822
CHEMBL40	P28223
CHEMBL40	P04035
CHEMBL40	P18089
CHEMBL40	O70127
CHEMBL40	P51679
CHEMBL40	P17252
CHEMBL40	P08575
CHEMBL40	Q9Y6L6
CHEMBL40	P25929
CHEMBL40	P19327
CHEMBL40	Q92731
CHEMBL40	P08172
CHEMBL40	P49146
CHEMBL40	Q8VI47
CHEMBL40	Q12809
CHEMBL40	P26435
CHEMBL40	P08912
CHEMBL40	P15207
CHEMBL40	P21554
CHEMBL40	Q63120
CHEMBL40	P35354
CHEMBL40	P20781
CHEMBL40	P33261
CHEMBL40	P46720
CHEMBL40	P00533
CHEMBL40	P33260
CHEMBL40	Q6VVX0
CHEMBL40	P04775
CHEMBL40	P12530
CHEMBL40	Q9Y271
CHEMBL40	P22309
CHEMBL40	Q7Z449
CHEMBL40	P04626
CHEMBL40	P37288
CHEMBL40	P21397
CHEMBL40	P03956
CHEMBL40	P27361
CHEMBL40	P07550
CHEMBL40	P22303
CHEMBL40	P04150
CHEMBL40	Q01959
CHEMBL40	P04774
CHEMBL40	P41597
CHEMBL40	Q9NPD5
CHEMBL40	P25105
CHEMBL40	P08311
CHEMBL40	P29274
CHEMBL40	P23219
CHEMBL40	P21728
CHEMBL40	Q690N0
CHEMBL40	P21452
CHEMBL40	P41595
CHEMBL40	B2RX12
CHEMBL40	P10635
CHEMBL40	P29477
CHEMBL40	P28335
CHEMBL40	Q8TAV3
CHEMBL40	Q16696
CHEMBL40	P04798
CHEMBL40	P07727
CHEMBL40	Q99250
CHEMBL45	A6XA80
CHEMBL45	P11712
CHEMBL45	P49285
CHEMBL45	P43220
CHEMBL45	P24941
CHEMBL45	P11229
CHEMBL45	Q9Z0J4
CHEMBL45	P50406
CHEMBL45	Q9F4F7
CHEMBL45	O76074
CHEMBL45	P00918
CHEMBL45	P49288
CHEMBL45	O15439
CHEMBL45	P05067
CHEMBL45	P51681
CHEMBL45	P25021
CHEMBL45	P25025
CHEMBL45	P27815
CHEMBL45	Q92887
CHEMBL45	P15127
