UniProt,Keywords
A6XA80,"['Endoplasmic reticulum', 'Leukotriene biosynthesis', 'Lyase', 'Membrane', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Transferase', 'Transmembrane', 'Transmembrane helix']"
P11712,"['3D-structure', 'Alternative splicing', 'Direct protein sequencing', 'Endoplasmic reticulum', 'Heme', 'Iron', 'Lipid metabolism', 'Membrane', 'Metal-binding', 'Microsome', 'Monooxygenase', 'Oxidoreductase', 'Reference proteome', 'Steroid metabolism', 'Sterol metabolism']"
P11229,"['3D-structure', 'Alternative splicing', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Membrane', 'Phosphoprotein', 'Postsynaptic cell membrane', 'Receptor', 'Reference proteome', 'Synapse', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P50406,"['3D-structure', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Membrane', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P02768,"['3D-structure', 'Alternative splicing', 'Calcium', 'Cleavage on pair of basic residues', 'Copper', 'Direct protein sequencing', 'Disease variant', 'Disulfide bond', 'Glycation', 'Glycoprotein', 'Lipid-binding', 'Metal-binding', 'Methylation', 'Phosphoprotein', 'Reference proteome', 'Repeat', 'Secreted', 'Signal', 'Zinc']"
O76074,"['3D-structure', 'Allosteric enzyme', 'Alternative splicing', 'cGMP', 'cGMP-binding', 'Hydrolase', 'Metal-binding', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Repeat', 'Zinc']"
P00918,"['3D-structure', 'Acetylation', 'Cell membrane', 'Cytoplasm', 'Direct protein sequencing', 'Disease variant', 'Lyase', 'Membrane', 'Metal-binding', 'Osteopetrosis', 'Phosphoprotein', 'Reference proteome', 'Zinc']"
P25021,"['3D-structure', 'Alternative splicing', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P51681,"['3D-structure', 'Cell membrane', 'Diabetes mellitus', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Host cell receptor for virus entry', 'Host-virus interaction', 'Lipoprotein', 'Membrane', 'Palmitate', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Sulfation', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P25025,"['3D-structure', 'Cell membrane', 'Chemotaxis', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Membrane', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
Q92887,"['ATP-binding', 'Cell membrane', 'Disease variant', 'Glycoprotein', 'Lipid transport', 'Membrane', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Repeat', 'Translocase', 'Transmembrane', 'Transmembrane helix', 'Transport']"
P15127,"['3D-structure', 'Alternative splicing', 'ATP-binding', 'Cell membrane', 'Cleavage on pair of basic residues', 'Disulfide bond', 'Endosome', 'Glycoprotein', 'Kinase', 'Lysosome', 'Membrane', 'Nucleotide-binding', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Repeat', 'Signal', 'Transferase', 'Transmembrane', 'Transmembrane helix', 'Tyrosine-protein kinase']"
P06241,"['3D-structure', 'Adaptive immunity', 'Alternative splicing', 'ATP-binding', 'Cell membrane', 'Cytoplasm', 'Developmental protein', 'Host-virus interaction', 'Immunity', 'Kinase', 'Lipoprotein', 'Manganese', 'Membrane', 'Metal-binding', 'Myristate', 'Nucleotide-binding', 'Nucleus', 'Palmitate', 'Phosphoprotein', 'Proto-oncogene', 'Reference proteome', 'SH2 domain', 'SH3 domain', 'Transferase', 'Tyrosine-protein kinase']"
P50052,"['3D-structure', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Membrane', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P22771,"['Alternative splicing', 'Cell membrane', 'Cell projection', 'Chloride', 'Chloride channel', 'Disulfide bond', 'Glycoprotein', 'Ion channel', 'Ion transport', 'Ligand-gated ion channel', 'Membrane', 'Metal-binding', 'Postsynaptic cell membrane', 'Receptor', 'Reference proteome', 'Signal', 'Synapse', 'Transmembrane', 'Transmembrane helix', 'Transport', 'Zinc']"
